mmwr_week,week,week_start,week_end,season,pathogen,lab_tot_tested,lab_tot_positive,lab_pct_positive,lab_tot_tested_cumulative,lab_tot_positive_cumulative,lab_pct_positive_cumulative,current_week_ending,row_id
201229,29,07/15/2012,07/21/2012,2011-2012,Influenza,67,1,0.0149253731,9333,641,0.07,07/20/2024,201229-Influenza
201230,30,07/22/2012,07/28/2012,2011-2012,Influenza,55,0,0,9388,641,0.07,07/27/2024,201230-Influenza
201231,31,07/29/2012,08/04/2012,2011-2012,Influenza,68,0,0,9456,641,0.07,08/03/2024,201231-Influenza
201232,32,08/05/2012,08/11/2012,2011-2012,Influenza,78,0,0,9534,641,0.07,08/10/2024,201232-Influenza
201233,33,08/12/2012,08/18/2012,2011-2012,Influenza,91,0,0,9625,641,0.07,08/17/2024,201233-Influenza
201234,34,08/19/2012,08/25/2012,2011-2012,Influenza,99,0,0,9724,641,0.07,08/24/2024,201234-Influenza
201235,35,08/26/2012,09/01/2012,2011-2012,Influenza,44,0,0,9768,641,0.07,08/31/2024,201235-Influenza
201236,36,09/02/2012,09/08/2012,2011-2012,Influenza,90,0,0,9858,641,0.07,09/07/2024,201236-Influenza
201237,37,09/09/2012,09/15/2012,2011-2012,Influenza,104,0,0,9962,641,0.06,09/14/2024,201237-Influenza
201238,38,09/16/2012,09/22/2012,2011-2012,Influenza,144,1,0.0069444444,10106,642,0.06,09/21/2024,201238-Influenza
201239,39,09/23/2012,09/29/2012,2011-2012,Influenza,145,0,0,10251,642,0.06,09/28/2024,201239-Influenza
201240,40,09/30/2012,10/06/2012,2012-2013,Influenza,169,1,0.0059171598,169,1,0.01,10/07/2023,201240-Influenza
201241,41,10/07/2012,10/13/2012,2012-2013,Influenza,202,0,0,371,1,0.00,10/14/2023,201241-Influenza
201242,42,10/14/2012,10/20/2012,2012-2013,Influenza,205,1,0.0048780488,576,2,0.00,10/21/2023,201242-Influenza
201243,43,10/21/2012,10/27/2012,2012-2013,Influenza,198,2,0.0101010101,774,4,0.01,10/28/2023,201243-Influenza
201244,44,10/28/2012,11/03/2012,2012-2013,Influenza,229,5,0.0218340611,1003,9,0.01,11/04/2023,201244-Influenza
201245,45,11/04/2012,11/10/2012,2012-2013,Influenza,239,2,0.0083682008,1242,11,0.01,11/11/2023,201245-Influenza
201246,46,11/11/2012,11/17/2012,2012-2013,Influenza,279,18,0.064516129,1521,29,0.02,11/18/2023,201246-Influenza
201247,47,11/18/2012,11/24/2012,2012-2013,Influenza,241,13,0.0539419087,1762,42,0.02,11/25/2023,201247-Influenza
201248,48,11/25/2012,12/01/2012,2012-2013,Influenza,301,48,0.1594684385,2063,90,0.04,12/02/2023,201248-Influenza
201249,49,12/02/2012,12/08/2012,2012-2013,Influenza,463,94,0.2030237581,2526,184,0.07,12/09/2023,201249-Influenza
201250,50,12/09/2012,12/15/2012,2012-2013,Influenza,526,120,0.2281368821,3052,304,0.10,12/16/2023,201250-Influenza
201251,51,12/16/2012,12/22/2012,2012-2013,Influenza,725,225,0.3103448276,3777,529,0.14,12/23/2023,201251-Influenza
201252,52,12/23/2012,12/29/2012,2012-2013,Influenza,847,266,0.3140495868,4624,795,0.17,12/30/2023,201252-Influenza
201301,1,12/30/2012,01/05/2013,2012-2013,Influenza,809,186,0.2299134734,5433,981,0.18,01/06/2024,201301-Influenza
201302,2,01/06/2013,01/12/2013,2012-2013,Influenza,884,179,0.2024886878,6317,1160,0.18,01/13/2024,201302-Influenza
201303,3,01/13/2013,01/19/2013,2012-2013,Influenza,760,78,0.1026315789,7077,1238,0.17,01/20/2024,201303-Influenza
201304,4,01/20/2013,01/26/2013,2012-2013,Influenza,621,53,0.0853462158,7698,1291,0.17,01/27/2024,201304-Influenza
201305,5,01/27/2013,02/02/2013,2012-2013,Influenza,554,36,0.0649819495,8252,1327,0.16,02/03/2024,201305-Influenza
201306,6,02/03/2013,02/09/2013,2012-2013,Influenza,512,24,0.046875,8764,1351,0.15,02/10/2024,201306-Influenza
201307,7,02/10/2013,02/16/2013,2012-2013,Influenza,449,14,0.0311804009,9213,1365,0.15,02/17/2024,201307-Influenza
201308,8,02/17/2013,02/23/2013,2012-2013,Influenza,392,25,0.0637755102,9605,1390,0.14,02/24/2024,201308-Influenza
201309,9,02/24/2013,03/02/2013,2012-2013,Influenza,390,24,0.0615384615,9995,1414,0.14,03/02/2024,201309-Influenza
201310,10,03/03/2013,03/09/2013,2012-2013,Influenza,386,24,0.0621761658,10381,1438,0.14,03/09/2024,201310-Influenza
201311,11,03/10/2013,03/16/2013,2012-2013,Influenza,392,33,0.0841836735,10773,1471,0.14,03/16/2024,201311-Influenza
201312,12,03/17/2013,03/23/2013,2012-2013,Influenza,342,27,0.0789473684,11115,1498,0.13,03/23/2024,201312-Influenza
201313,13,03/24/2013,03/30/2013,2012-2013,Influenza,353,25,0.0708215297,11468,1523,0.13,03/30/2024,201313-Influenza
201314,14,03/31/2013,04/06/2013,2012-2013,Influenza,349,31,0.0888252149,11817,1554,0.13,04/06/2024,201314-Influenza
201315,15,04/07/2013,04/13/2013,2012-2013,Influenza,346,24,0.0693641618,12163,1578,0.13,04/13/2024,201315-Influenza
201316,16,04/14/2013,04/20/2013,2012-2013,Influenza,300,27,0.09,12463,1605,0.13,04/20/2024,201316-Influenza
201317,17,04/21/2013,04/27/2013,2012-2013,Influenza,266,11,0.0413533835,12729,1616,0.13,04/27/2024,201317-Influenza
201318,18,04/28/2013,05/04/2013,2012-2013,Influenza,245,9,0.0367346939,12974,1625,0.13,05/04/2024,201318-Influenza
201319,19,05/05/2013,05/11/2013,2012-2013,Influenza,236,12,0.0508474576,13210,1637,0.12,05/11/2024,201319-Influenza
201320,20,05/12/2013,05/18/2013,2012-2013,Influenza,274,4,0.0145985401,13484,1641,0.12,05/18/2024,201320-Influenza
201321,21,05/19/2013,05/25/2013,2012-2013,Influenza,170,7,0.0411764706,13654,1648,0.12,05/25/2024,201321-Influenza
201322,22,05/26/2013,06/01/2013,2012-2013,Influenza,253,1,0.0039525692,13907,1649,0.12,06/01/2024,201322-Influenza
201323,23,06/02/2013,06/08/2013,2012-2013,Influenza,169,3,0.0177514793,14076,1652,0.12,06/08/2024,201323-Influenza
201324,24,06/09/2013,06/15/2013,2012-2013,Influenza,188,0,0,14264,1652,0.12,06/15/2024,201324-Influenza
201325,25,06/16/2013,06/22/2013,2012-2013,Influenza,186,0,0,14450,1652,0.11,06/22/2024,201325-Influenza
201326,26,06/23/2013,06/29/2013,2012-2013,Influenza,139,0,0,14589,1652,0.11,06/29/2024,201326-Influenza
201327,27,06/30/2013,07/06/2013,2012-2013,Influenza,78,0,0,14667,1652,0.11,07/06/2024,201327-Influenza
201328,28,07/07/2013,07/13/2013,2012-2013,Influenza,132,0,0,14799,1652,0.11,07/13/2024,201328-Influenza
201329,29,07/14/2013,07/20/2013,2012-2013,Influenza,132,0,0,14931,1652,0.11,07/20/2024,201329-Influenza
201330,30,07/21/2013,07/27/2013,2012-2013,Influenza,132,0,0,15063,1652,0.11,07/27/2024,201330-Influenza
201331,31,07/28/2013,08/03/2013,2012-2013,Influenza,66,0,0,15129,1652,0.11,08/03/2024,201331-Influenza
201332,32,08/04/2013,08/10/2013,2012-2013,Influenza,118,1,0.0084745763,15247,1653,0.11,08/10/2024,201332-Influenza
201333,33,08/11/2013,08/17/2013,2012-2013,Influenza,111,0,0,15358,1653,0.11,08/17/2024,201333-Influenza
201334,34,08/18/2013,08/24/2013,2012-2013,Influenza,109,0,0,15467,1653,0.11,08/24/2024,201334-Influenza
201335,35,08/25/2013,08/31/2013,2012-2013,Influenza,121,0,0,15588,1653,0.11,08/31/2024,201335-Influenza
201336,36,09/01/2013,09/07/2013,2012-2013,Influenza,141,0,0,15729,1653,0.11,09/07/2024,201336-Influenza
201337,37,09/08/2013,09/14/2013,2012-2013,Influenza,153,0,0,15882,1653,0.10,09/14/2024,201337-Influenza
201338,38,09/15/2013,09/21/2013,2012-2013,Influenza,208,1,0.0048076923,16090,1654,0.10,09/21/2024,201338-Influenza
201339,39,09/22/2013,09/28/2013,2012-2013,Influenza,230,1,0.0043478261,16320,1655,0.10,09/28/2024,201339-Influenza
201340,40,09/29/2013,10/05/2013,2013-2014,Influenza,268,1,0.0037313433,268,1,0.00,10/07/2023,201340-Influenza
201341,41,10/06/2013,10/12/2013,2013-2014,Influenza,314,2,0.0063694268,582,3,0.01,10/14/2023,201341-Influenza
201342,42,10/13/2013,10/19/2013,2013-2014,Influenza,303,1,0.00330033,885,4,0.00,10/21/2023,201342-Influenza
201343,43,10/20/2013,10/26/2013,2013-2014,Influenza,251,1,0.0039840637,1136,5,0.00,10/28/2023,201343-Influenza
201344,44,10/27/2013,11/02/2013,2013-2014,Influenza,355,1,0.0028169014,1491,6,0.00,11/04/2023,201344-Influenza
201345,45,11/03/2013,11/09/2013,2013-2014,Influenza,356,3,0.0084269663,1847,9,0.00,11/11/2023,201345-Influenza
201346,46,11/10/2013,11/16/2013,2013-2014,Influenza,400,4,0.01,2247,13,0.01,11/18/2023,201346-Influenza
201347,47,11/17/2013,11/23/2013,2013-2014,Influenza,375,9,0.024,2622,22,0.01,11/25/2023,201347-Influenza
201348,48,11/24/2013,11/30/2013,2013-2014,Influenza,337,8,0.0237388724,2959,30,0.01,12/02/2023,201348-Influenza
201349,49,12/01/2013,12/07/2013,2013-2014,Influenza,468,21,0.0448717949,3427,51,0.01,12/09/2023,201349-Influenza
201350,50,12/08/2013,12/14/2013,2013-2014,Influenza,449,32,0.0712694878,3876,83,0.02,12/16/2023,201350-Influenza
201351,51,12/15/2013,12/21/2013,2013-2014,Influenza,424,61,0.1438679245,4300,144,0.03,12/23/2023,201351-Influenza
201352,52,12/22/2013,12/28/2013,2013-2014,Influenza,612,98,0.160130719,4912,242,0.05,12/30/2023,201352-Influenza
201401,1,12/29/2013,01/04/2014,2013-2014,Influenza,754,168,0.2228116711,5666,410,0.07,01/06/2024,201401-Influenza
201402,2,01/05/2014,01/11/2014,2013-2014,Influenza,940,159,0.1691489362,6606,569,0.09,01/13/2024,201402-Influenza
201403,3,01/12/2014,01/18/2014,2013-2014,Influenza,817,110,0.1346389229,7423,679,0.09,01/20/2024,201403-Influenza
201404,4,01/19/2014,01/25/2014,2013-2014,Influenza,620,76,0.1225806452,8043,755,0.09,01/27/2024,201404-Influenza
201405,5,01/26/2014,02/01/2014,2013-2014,Influenza,621,50,0.0805152979,8664,805,0.09,02/03/2024,201405-Influenza
201406,6,02/02/2014,02/08/2014,2013-2014,Influenza,540,36,0.0666666667,9204,841,0.09,02/10/2024,201406-Influenza
201407,7,02/09/2014,02/15/2014,2013-2014,Influenza,478,33,0.0690376569,9682,874,0.09,02/17/2024,201407-Influenza
201408,8,02/16/2014,02/22/2014,2013-2014,Influenza,322,12,0.0372670807,10004,886,0.09,02/24/2024,201408-Influenza
201409,9,02/23/2014,03/01/2014,2013-2014,Influenza,487,24,0.0492813142,10491,910,0.09,03/02/2024,201409-Influenza
201410,10,03/02/2014,03/08/2014,2013-2014,Influenza,390,27,0.0692307692,10881,937,0.09,03/09/2024,201410-Influenza
201411,11,03/09/2014,03/15/2014,2013-2014,Influenza,382,11,0.0287958115,11263,948,0.08,03/16/2024,201411-Influenza
201412,12,03/16/2014,03/22/2014,2013-2014,Influenza,396,12,0.0303030303,11659,960,0.08,03/23/2024,201412-Influenza
201413,13,03/23/2014,03/29/2014,2013-2014,Influenza,401,19,0.0473815461,12060,979,0.08,03/30/2024,201413-Influenza
201414,14,03/30/2014,04/05/2014,2013-2014,Influenza,457,32,0.0700218818,12517,1011,0.08,04/06/2024,201414-Influenza
201415,15,04/06/2014,04/12/2014,2013-2014,Influenza,396,45,0.1136363636,12913,1056,0.08,04/13/2024,201415-Influenza
201416,16,04/13/2014,04/19/2014,2013-2014,Influenza,429,38,0.0885780886,13342,1094,0.08,04/20/2024,201416-Influenza
201417,17,04/20/2014,04/26/2014,2013-2014,Influenza,290,32,0.1103448276,13632,1126,0.08,04/27/2024,201417-Influenza
201418,18,04/27/2014,05/03/2014,2013-2014,Influenza,365,35,0.095890411,13997,1161,0.08,05/04/2024,201418-Influenza
201419,19,05/04/2014,05/10/2014,2013-2014,Influenza,362,31,0.0856353591,14359,1192,0.08,05/11/2024,201419-Influenza
201420,20,05/11/2014,05/17/2014,2013-2014,Influenza,387,20,0.0516795866,14746,1212,0.08,05/18/2024,201420-Influenza
201421,21,05/18/2014,05/24/2014,2013-2014,Influenza,255,8,0.031372549,15001,1220,0.08,05/25/2024,201421-Influenza
201422,22,05/25/2014,05/31/2014,2013-2014,Influenza,297,4,0.0134680135,15298,1224,0.08,06/01/2024,201422-Influenza
201423,23,06/01/2014,06/07/2014,2013-2014,Influenza,312,4,0.0128205128,15610,1228,0.08,06/08/2024,201423-Influenza
201424,24,06/08/2014,06/14/2014,2013-2014,Influenza,258,3,0.011627907,15868,1231,0.08,06/15/2024,201424-Influenza
201425,25,06/15/2014,06/21/2014,2013-2014,Influenza,257,2,0.0077821012,16125,1233,0.08,06/22/2024,201425-Influenza
201426,26,06/22/2014,06/28/2014,2013-2014,Influenza,262,2,0.0076335878,16387,1235,0.08,06/29/2024,201426-Influenza
201427,27,06/29/2014,07/05/2014,2013-2014,Influenza,211,3,0.0142180095,16598,1238,0.07,07/06/2024,201427-Influenza
201428,28,07/06/2014,07/12/2014,2013-2014,Influenza,189,0,0,16787,1238,0.07,07/13/2024,201428-Influenza
201429,29,07/13/2014,07/19/2014,2013-2014,Influenza,115,0,0,16902,1238,0.07,07/20/2024,201429-Influenza
201430,30,07/20/2014,07/26/2014,2013-2014,Influenza,123,0,0,17025,1238,0.07,07/27/2024,201430-Influenza
201431,31,07/27/2014,08/02/2014,2013-2014,Influenza,234,2,0.0085470085,17259,1240,0.07,08/03/2024,201431-Influenza
201432,32,08/03/2014,08/09/2014,2013-2014,Influenza,179,2,0.0111731844,17438,1242,0.07,08/10/2024,201432-Influenza
201433,33,08/10/2014,08/16/2014,2013-2014,Influenza,218,1,0.004587156,17656,1243,0.07,08/17/2024,201433-Influenza
201434,34,08/17/2014,08/23/2014,2013-2014,Influenza,236,0,0,17892,1243,0.07,08/24/2024,201434-Influenza
201435,35,08/24/2014,08/30/2014,2013-2014,Influenza,265,1,0.0037735849,18157,1244,0.07,08/31/2024,201435-Influenza
201436,36,08/31/2014,09/06/2014,2013-2014,Influenza,220,1,0.0045454545,18377,1245,0.07,09/07/2024,201436-Influenza
201437,37,09/07/2014,09/13/2014,2013-2014,Influenza,419,2,0.0047732697,18796,1247,0.07,09/14/2024,201437-Influenza
201438,38,09/14/2014,09/20/2014,2013-2014,Influenza,345,0,0,19141,1247,0.07,09/21/2024,201438-Influenza
201439,39,09/21/2014,09/27/2014,2013-2014,Influenza,339,0,0,19480,1247,0.06,09/28/2024,201439-Influenza
201440,40,09/28/2014,10/04/2014,2014-2015,Influenza,331,1,0.003021148,331,1,0.00,10/07/2023,201440-Influenza
201441,41,10/05/2014,10/11/2014,2014-2015,Influenza,330,2,0.0060606061,661,3,0.00,10/14/2023,201441-Influenza
201442,42,10/12/2014,10/18/2014,2014-2015,Influenza,370,2,0.0054054054,1031,5,0.00,10/21/2023,201442-Influenza
201443,43,10/19/2014,10/25/2014,2014-2015,Influenza,323,3,0.0092879257,1354,8,0.01,10/28/2023,201443-Influenza
201444,44,10/26/2014,11/01/2014,2014-2015,Influenza,330,3,0.0090909091,1684,11,0.01,11/04/2023,201444-Influenza
201445,45,11/02/2014,11/08/2014,2014-2015,Influenza,343,2,0.0058309038,2027,13,0.01,11/11/2023,201445-Influenza
201446,46,11/09/2014,11/15/2014,2014-2015,Influenza,375,12,0.032,2402,25,0.01,11/18/2023,201446-Influenza
201447,47,11/16/2014,11/22/2014,2014-2015,Influenza,379,32,0.0844327177,2781,57,0.02,11/25/2023,201447-Influenza
